,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1
1,Sirius,0008.6,2.1,1.71
2,Canopus,0310,15,71
3,Alpha Centauri,0004.4,1.1,1.2
4,Arcturus,0037,1.1,26
5,Vega,0025,2.2,2.7
6,Capella,0043,2.6,12
7,Rigel,0860,23,78.9
8,Procyon,0011.4,1.5,1.9
9,Betelgeuse,0640[1],20,950
10,Achernar,0144,6.7,9.3
11,Hadar,0390,10.5,8.6
12,Altair,0017,1.8,1.8
13,Acrux,0320,18,8.9
14,Aldebaran,0065,1.5,44
15,Antares,0600,12,680
16,Spica,0260,11.43,7.47
17,Pollux,0034,1.9,8.8
18,Fomalhaut,0025,1.9,1.8
19,Deneb,"2,600",19,203
20,Mimosa,0350,16,8.4
21,Regulus,0077,3.8,3.1
22,Adhara,0430,12.5,14
23,Shaula,0700,14.5,8.8
24,Castor,0052,2.8,2.4
25,Gacrux,0088,1.5,84
26,Bellatrix,0240,8.6,5.8
27,Elnath,0130,5.0,4.2
28,Miaplacidus,0110,3.5,6.8
29,Alnilam,"2,000",32,42
30,Gamma Velorum,"01,100",9.0,6
31,Alnair,0101,4.0,3.4
32,Alioth,0081,2.9,4.2
33,Alnitak,01050,33,20
34,Dubhe,0120,4.25,30
35,Mirfak,0590,8.5,68
36,Wezen,"1,600",17,200
37,Sargas,0270,5.7,26
38,Kaus Australis,0140,3.5,6.8
39,Avior,0630,9.0,130
40,Alkaid,0104,6.1,3.4
41,Menkalinan,081,2.39,2.77
42,Atria,0390,7,92
43,Alhena,0109,2.8,3.3
44,Peacock,0180,5.9,4.8
45,Alsephina[2],0080,2.4,2.9
46,Mirzam,0500,13.5,10
47,Polaris,0430,5.4,39
48,Alphard,0180,3.0,50
49,Mintaka,01200,24,16.5
50,Scheat,0196,2.1,95
51,Almaaz,0653,15,140
52,Rasalgethi,0360,2.8,280
53,Tau Ceti,011.9,0.783,0.893
54,Delta Pavonis,019.92,0.991,1.22
55,Ran,010.48,0.82,0.74
56,V382 Carinae,"08,900",20,485
57,Eta Carinae,"07,500",100,60881
58,Delta Cephei,0887,4.5,44.5
59,Mu Cephei,"06,000",19.2,972
60,Titawin,044.25,1.27,1.48
61,Rho Cassiopeiae,"08,154",22,636-981
62,P Cygni,"05,545",30,76
64,VV Cephei,"04,900",18.2,"516 - 1,050"
65,61 Cygni,011.41,0.7,0.665
66,R Doradus,0178,0.7 - 1.0,298
67,Polaris Australis,0281,1.59,3.74
68,R Coronae Borealis,"04,566",0.85,85
69,54 Piscium,036.1,0.76,0.94
70,Mira,0300,1.2,370
71,RW Cephei,"014,000",13.9,"1,158"
72,Lacaille 8760,012.87,0.6,0.51
73,V838 Monocerotis,"019,896",?,380 - 750
74,HD 140283,0190,?,1.4
75,II Pegasi,0130,0.8,3.4
76,VY Canis Majoris,"03,900",17,"1,420"
77,Pistol Star,"025,000",100,320
78,S Doradus,"0169,000",24,380
79,UY Scuti,"05,100",710,755
80,Barnard's Star,05.98,0.14,0.20
81,Luhman 16,06.52,0.04,?
82,Proxima Centauri,04.25,0.12,0.15
83,KIC 8462852,"01,470",1.43,1.58
84,R136a1,"0163,000",290,32
85,Melnick 42,"0163,000",189,21.1
86,WR 102,"018,134",19,0.39
87,VFTS 352,"0164,000",57.48,14.47
88,YBP 1194,"02,772",1.01,0.99
89,Gliese 1214,047.5,0.16,0.21
90,NML Cygni,"05,251",50,"1,640 - 2,770"
91,VB 10,018.72,0.075,0.10
92,WOH G64,"0163,000",<20,"1,540 - 1,730"
93,TRAPPIST-1,039.6,0.089,0.12
94,2MASS J0523-1403,040.3,0.07,0.086
95,WISE 08550714,07.27,0.003,?
96,Icarus,"014,400,000,000",33,?
97,0,Pegasus,46.1,0.045820224
98,1,Tucana,192.0,0.018137172
99,3,Pisces,37.7,0.075412452
100,5,Pisces,236.0,0.029592228
101,7,Cetus,87.2,0.051547752
102,8,Cetus,131.0,0.027683052
103,9,Pisces,31.0,0.040092696000000004
104,10,Pisces,28.6,0.040092696000000004
105,11,Pisces,57.0,0.021955524
106,12,Cassiopeia,40.0,0.011455056
107,13,Sculptor,34.0,0.03818352
108,15,Cetus,96.0,0.027683052
109,17,Pisces,70.0,0.049638576000000004
110,18,Cetus,51.0,0.049638576000000004
111,19,Sculptor,163.0,0.01909176
112,20,Phoenix,130.0,0.01909176
113,25,Cetus,111.0,0.044865636
114,28,Cetus,152.0,0.025773876
115,29,Fornax,35.0,0.031501404000000004
116,32,Aries,12.578,0.07636704
117,34,Cetus,24.0,0.06204822
118,35,Eridanus,16.2,0.07636704
119,36,Fornax,45.0,0.046774812
120,40,Eridanus,80.0,0.017182584
121,41,Taurus,98.0,0.051547752
122,43,Fornax,20.9,0.069684924
123,45,Taurus,380.0,0.05250234
124,47,Taurus,29.8,0.01909176
125,49,Eridanus,18.6,0.028637640000000002
126,51,Eridanus,85.0,0.07636704
127,54,Eridanus,29.5,0.045820224
128,57,Caelum,42.0,0.061093632
129,58,Caelum,69.0,0.00099277152
130,59,Orion,44.0,0.061093632
131,60,Orion,64.0,0.020046348000000002
132,61,Orion,73.0,0.044865636
133,62,Lepus,40.0,0.064911984
134,66,Auriga,34.6,0.026728464
135,70,Puppis,39.0,0.053456928
136,71,Puppis,65.0,0.063957396
137,72,Canis Major,51.0,0.07159410000000001
138,75,Monoceros,13.4,0.024819288000000002
139,76,Gemini,29.6,0.039138108
140,77,Puppis,25.8,0.035319756
141,78,Gemini,49.0,0.041047284
142,80,Puppis,55.0,0.067775748
143,82,Carina,16.1,0.042001872
144,85,Cancer,35.0,0.049638576000000004
145,86,Lynx,43.0,0.045820224
146,88,Hydra,77.0,0.043911048
